0

Finite interval
3, (2.47069,-1.55428)
2.02609, (7.2135,-0.3626)
3.97391, (0.0132254,-4.20141)
2.13494, (3.6526,-0.468228)
3.86506, (0.657996,-4.13481)
2.32059, (2.79306,-0.626824)
3.67941, (1.57224,-3.67006)
2.5666, (2.51963,-0.874573)
3.4334, (2.23606,-2.7864)
2.85113, (2.4691,-1.27273)
3.14887, (2.45615,-1.9034)
2.00434, (16.7068,-0.325606)
3.99566, (-0.117382,-4.19234)
2.06984, (4.71463,-0.410021)
3.93016, (0.276124,-4.19676)
2.21918, (3.1035,-0.539245)
3.78082, (1.11315,-3.96781)
2.43724, (2.61499,-0.736338)
3.56276, (1.96215,-3.25784)
2.70561, (2.47821,-1.04993)
3.29439, (2.39093,-2.32013)
0.078125, (-nan,-nan)
0.0629077, (-nan,-nan)
0.0933423, (-nan,-nan)
0.0646084, (-nan,-nan)
0.0916416, (-nan,-nan)
0.0675092, (-nan,-nan)
0.0887408, (-nan,-nan)
0.0713532, (-nan,-nan)
0.0848968, (-nan,-nan)
0.0757988, (-nan,-nan)
0.0804512, (-nan,-nan)
0.0625679, (-nan,-nan)
0.0936821, (-nan,-nan)
0.0635913, (-nan,-nan)
0.0926587, (-nan,-nan)
0.0659247, (-nan,-nan)
0.0903253, (-nan,-nan)
0.0693319, (-nan,-nan)
0.0869181, (-nan,-nan)
0.0735251, (-nan,-nan)
0.0827249, (-nan,-nan)
0.109375, (-nan,-nan)
0.0941577, (-nan,-nan)
0.124592, (-nan,-nan)
0.0958584, (-nan,-nan)
0.122892, (-nan,-nan)
0.0987592, (-nan,-nan)
0.119991, (-nan,-nan)
0.102603, (-nan,-nan)
0.116147, (-nan,-nan)
0.107049, (-nan,-nan)
0.111701, (-nan,-nan)
0.0938179, (-nan,-nan)
0.124932, (-nan,-nan)
0.0948413, (-nan,-nan)
0.123909, (-nan,-nan)
0.0971747, (-nan,-nan)
0.121575, (-nan,-nan)
0.100582, (-nan,-nan)
0.118168, (-nan,-nan)
0.104775, (-nan,-nan)
0.113975, (-nan,-nan)
0.015625, (-nan,-nan)
0.00040771, (-nan,-nan)
0.0308423, (-nan,-nan)
0.00210838, (-nan,-nan)
0.0291416, (-nan,-nan)
0.00500923, (-nan,-nan)
0.0262408, (-nan,-nan)
0.0088532, (-nan,-nan)
0.0223968, (-nan,-nan)
0.0132988, (-nan,-nan)
0.0179512, (-nan,-nan)
6.78568e-05, (-nan,-nan)
0.0311821, (-nan,-nan)
0.00109129, (-nan,-nan)
0.0301587, (-nan,-nan)
0.00342472, (-nan,-nan)
0.0278253, (-nan,-nan)
0.00683192, (-nan,-nan)
0.0244181, (-nan,-nan)
0.0110251, (-nan,-nan)
0.0202249, (-nan,-nan)
0.046875, (-nan,-nan)
0.0316577, (-nan,-nan)
0.0620923, (-nan,-nan)
0.0333584, (-nan,-nan)
0.0603916, (-nan,-nan)
0.0362592, (-nan,-nan)
0.0574908, (-nan,-nan)
0.0401032, (-nan,-nan)
0.0536468, (-nan,-nan)
0.0445488, (-nan,-nan)
0.0492012, (-nan,-nan)
0.0313179, (-nan,-nan)
0.0624321, (-nan,-nan)
0.0323413, (-nan,-nan)
0.0614087, (-nan,-nan)
0.0346747, (-nan,-nan)
0.0590753, (-nan,-nan)
0.0380819, (-nan,-nan)
0.0556681, (-nan,-nan)
0.0422751, (-nan,-nan)
0.0514749, (-nan,-nan)
0.015625, (-nan,-nan)
0.00040771, (-nan,-nan)
0.0308423, (-nan,-nan)
0.00210838, (-nan,-nan)
0.0291416, (-nan,-nan)
0.00500923, (-nan,-nan)
